Country,Average Overall Score,Score with COVID-19 Data,% of Mobiles Infected with Malware,% of Users Attacked by Mobile Banking Trojans,% of Users Attacked by Mobile Ransomware Trojans,% Share of Users Attacked by Banking Malware,% of Users Attacked by Ransomware Trojans,% of Computers Infected with at Least One Malware Attack (Web-Based),% of Computers Facing at Least One Local Malware Attack,% of Mobile Users Attacked Via Web Sources,% of Telnet Attacks by Originating Country (IoT),% of Attacks by Cryptominers,% of SSH-Based Attacks by Originating Country (IoT),% of all Spam Emails by Originating Country (Yearly),% Share of Countries Targeted by Malicious Mailings (Yearly),% of Computers Attacked by Phishing (Yearly),GCI,Total Number of Covid 19 Related Malicious File Detections
Algeria,32.28059221,30.26539455,21.97,0,0.03,0.4,0.33,6.22,31.85,4.27,0.01,0.77,0.04,0.05,0.4,16.38,0.262,771
Argentina,17.45107717,16.39052952,6.59,0,0,0.4,0.18,2.87,16.24,1.41,0.71,0.48,0.8,1.01,0.39,12.72,0.407,9935
Armenia,17.04694896,15.98155106,2.16,0.06,0.01,0.6,0.26,4.95,23.71,0.05,0.04,1.06,0.02,0.08,0.1,10.34,0.495,12
Australia,14.39486231,13.55218067,2.45,0.1,0,0.2,0.07,5.18,6.72,2.03,0.3,0.23,0.5,0.19,0.66,16.59,0.89,18785
Austria,9.051290957,8.553311421,1.82,0.02,0,0.2,0.06,2.87,5.51,1.39,0.05,0.15,0.16,0.38,0.62,10.17,0.826,22321
Azerbaijan,17.40731425,16.31949972,3.13,0.03,0.01,0.6,0.28,4.89,27.85,0.22,0.03,1.31,0.01,0.08,0.14,10.89,0.653,47
Bangladesh,34.56505539,32.42206465,17.18,0.03,0.02,0.7,2.37,7.34,39.9,1.32,0.28,1.26,0.22,0.47,1.06,12.6,0.525,5710
Belarus,19.10310385,17.90924785,1.97,0.03,0,0.6,0.18,5.78,28.24,0.46,0.04,1.38,0.11,0.21,0.36,12.05,0.578,29
Belgium,13.44378723,12.75326352,2.85,0.02,0.01,0.2,0.05,4.39,5.85,1.98,0.08,0.2,0.13,0.25,0.28,16.4,0.814,49342
Bolivia,22.67157976,21.25480628,6.89,0.03,0.02,0.05,0.37,3,28,1.43,0.06,1.19,0.09,0.1,0.19,14.27,0.139,66
Brazil,28.38108994,27.56687984,4.77,0.04,0,0.3,0.14,4.73,17.29,2.96,7.66,0.94,4.44,3.26,3.33,19.94,0.577,316265
Bulgaria,14.467511,13.56420485,3.5,0.03,0.01,0.5,0.16,4.83,15.43,0.66,0.24,0.56,0.17,0.5,0.38,11.35,0.721,301
Canada,11.99201481,11.37344221,2.68,0.01,0.01,0.2,0.06,5.19,6.02,2.25,0.34,0.21,1.31,0.42,0.5,9.96,0.892,43151
Chile,16.99789172,15.96406004,5.24,0.02,0,0.4,0.14,4.19,11.7,1.32,0.18,0.35,0.34,0.4,0.43,14.83,0.47,9405
China,33.90414134,32.19516077,14.01,0.09,0.09,1.4,0.65,4.55,35.56,0.04,15.46,0.6,28.56,6.21,0.35,5.64,0.828,135136
Colombia,16.75211754,16.06907036,3.55,0.02,0,0.3,0.19,3.9,16.68,1.17,1.42,0.25,0.62,0.64,0.87,13.75,0.565,119953
Croatia,10.18288035,9.571992141,2.54,0.02,0.01,0.3,0.08,3.89,7.39,1.04,0.1,0.36,0.13,1.3,0.37,9.15,0.84,8418
Denmark,3.557042198,3.362665879,1.33,0,0,0.1,0.02,1.33,2.83,1.42,0.02,0.11,0.07,0.07,0.06,3.26,0.852,9208
Ecuador,26.11253817,24.49515057,9.32,0.01,0,0.03,0.27,3.19,25.72,6.33,0.17,0.69,0.25,0.12,0.56,15.6,0.367,4827
Egypt,20.03463144,18.78667236,4.19,0,0.01,1,0.71,3.55,26.01,0.33,9.77,0.61,0.41,0.08,1,11.48,0.842,1386
Finland,6.357600922,5.966301039,1.06,0.02,0.01,0.3,0.06,2.73,5.77,0.39,0.02,0.36,0.09,0.23,0.01,7.14,0.856,1994
France,19.09860197,17.99743662,2.56,0.01,0,0.2,0.08,6.71,6.45,2.53,0.46,0.16,4.03,5.97,1.12,17.9,0.918,30485
Georgia,13.35284426,12.52828611,1.4,0.04,0.02,0.4,0.2,6.06,18.44,0.06,0.31,0.89,0.06,0.09,0.04,9.69,0.857,3294
Germany,19.57424998,19.30498762,1.63,0.02,0.01,0.3,0.06,3.54,4.94,1.8,0.66,0.12,4.67,10.97,7.28,9.68,0.849,314459
Greece,19.76489931,18.56198914,2.75,0.01,0,0.5,0.14,5.39,13.27,1.4,2.52,0.49,0.19,0.21,1.75,16,0.527,10677
Haiti,11.22753048,10.52584016,1.58,0,0,0.3,1.38,0.48,4,0.03,0.01,0.05,0.01,0,0.02,1.94,0.046,10
Honduras ,18.17495322,17.04373377,4.44,0.01,0.01,0.4,0.17,2.52,18.24,0.51,0.1,0.41,0.03,0.05,0.05,13.49,0.044,1554
Hungary,14.69749032,13.78662222,3.34,0,0,0.2,0.12,4.33,12.7,1.83,0.3,0.42,0.35,0.83,0.34,15.1,0.812,2546
India,30.71977527,30.74525715,11.02,0.02,0.01,0.3,0.3,5.28,20.08,4.11,19.99,0.95,3.48,1.48,2.34,11.21,0.719,641182
Indonesia,22.78686411,21.38386679,9.98,0.01,0.03,0.7,0.45,5.35,23.1,1.73,2.1,0.98,1.77,0.78,2.19,11.6,0.776,6981
Iran,23.55323788,22.22111858,30.29,0.02,0.02,1.6,0.25,2.68,29.06,0.76,3.09,0.7,0.59,0.29,0.92,6.39,0.641,46127
Ireland,5.052696571,4.804659526,2.12,0,0.01,0.1,0.04,1.35,3.49,1.63,0.04,0.19,0.33,0.25,0.06,3.42,0.784,22331
Israel,12.37510784,12.19919569,3.17,0.05,0.01,0.2,0.15,2.86,9.99,0.72,0.32,0.4,0.06,0.24,0.09,16.25,0.783,196933
Italy,21.09430214,21.53203355,3.26,0.31,0.02,0.5,0.12,4.38,10.74,2.32,1.56,0.22,1.35,1.02,5.45,15.45,0.837,578779
Japan,17.70914904,16.62639139,2.7,1.89,0,0.2,0.08,3.83,4.4,1.98,0.51,0.11,0.96,2.14,1.4,8.93,0.88,7931
Kazakhstan,26.92189904,25.24254817,4.52,0.02,0.57,1.5,0.34,4.44,26.93,1.62,0.16,2.26,0.11,0.49,0.36,10.14,0.778,1077
Kenya,20.38194251,19.11635747,10.4,0.01,0.01,0.5,0.18,4.98,25.37,1.53,0.15,0.75,0.07,0.24,1.83,12.85,0.748,2731
Kuwait,19.57320923,18.35079998,10.45,0.05,0.03,0.3,0.15,3.95,19.44,3.66,0.02,0.39,0.05,0.04,0.34,11.19,0.6,302
Kyrgyzstan,24.38451632,22.86049012,1.7,0.03,0.14,0.7,0.57,5.46,31.17,0.07,0.02,2.51,0.02,0.05,0.02,9.88,0.254,2
Latvia,16.25138497,15.23591007,3.36,0.02,0,0.3,0.16,7.31,13.95,0.61,0.1,0.73,0.06,0.91,0.3,12.86,0.748,78
Malaysia,20.07985267,18.94051912,9.94,0.07,0.02,0.4,0.15,4.68,16.81,3.49,0.59,0.44,0.51,0.17,2.46,13.1,0.893,38118
Mexico,18.71847599,17.69737397,7.1,0,0.01,0.6,0.15,3.81,17.84,1.23,1,0.38,1.07,0.45,3.34,11.27,0.629,49042
Morocco,25.94961393,24.32897067,11.12,0.01,0.01,0.4,0.26,4.77,26.18,4.51,0.14,0.53,0.19,0.2,0.89,14.97,0.429,398
Netherlands,6.547595788,6.185513258,1.66,0.02,0.01,0.2,0.05,1.66,4.24,1.1,0.28,0.19,1.86,4,0.26,4.84,0.885,15537
Nigeria,18.90422835,17.72306908,13.31,0,0.01,0.5,0.18,3.77,25.17,1.67,0.06,0.7,0.12,0.09,0.29,11.13,0.65,117
Norway,5.614011945,5.266155217,1.47,0.01,0.02,0.2,0.05,2.5,6.08,0.82,0.08,0.35,0.18,0.08,0.01,5.03,0.892,995
Oman,18.8145554,17.63881257,9.86,0.01,0.04,0.2,0.16,4.07,18.71,4.98,0.02,0.35,0.03,0.01,0.27,11.94,0.868,55
Pakistan,20.18524312,18.92875983,9.96,0.01,0.02,1,0.52,3.66,21.18,0.76,0.18,1.57,0.31,0.41,0.55,7.67,0.407,1679
Panama,17.42236329,16.33568357,5.18,0.02,0.01,0.1,0.09,3.6,15.02,1.93,0.04,0.22,0.11,0.05,0.11,14.84,0.369,731
Peru,17.17028098,16.12950412,2.77,0.01,0,0.4,0.22,3.14,20.12,0.89,0.09,0.87,0.14,0.33,0.63,12.66,0.401,10667
Philippines,21.79963716,20.45547117,9.39,0.01,0.02,0.6,0.25,5.23,22.45,2.36,0.1,0.62,0.22,0.13,0.32,16.05,0.643,6035
Poland,13.06631747,12.26780494,2.79,0.09,0.01,0.3,0.09,3.69,7.54,1.48,0.61,0.37,0.48,2.05,0.65,12.7,0.815,5976
Portugal,19.95829111,18.71787352,3.38,0.01,0.01,0.9,0.12,5.34,11.5,2.2,0.1,0.44,0.17,0.35,1.88,19.73,0.758,2299
Qatar,21.92480905,20.55530648,10.19,0.02,0.01,0.6,0.16,5.83,18.93,3.44,0.01,0.42,0.1,0.02,1.26,17.35,0.86,263
Romania,14.51274512,13.61423069,5.04,0.02,0.02,0.4,0.04,5.3,14.4,1.32,0.58,0.14,0.29,0.49,0.98,5.76,0.568,2812
Russia,25.04653274,23.49328548,1.49,0.12,0.01,0.4,0.14,3.55,18.21,0.04,3.84,1.02,3.19,21.27,6.29,9.69,0.836,4008
Saudi Arabia,19.37914013,18.5724044,11.91,0.01,0.08,0.7,0.17,3.55,18.17,3.78,0.14,0.31,0.12,0.28,1.51,11.12,0.881,133301
Singapore,11.7318606,11.06209759,6.23,0.01,0.01,0.3,0.1,3.02,6.59,3.69,0.17,0.28,3.16,0.42,0.43,5.79,0.898,20921
Slovakia,12.31869385,11.55014087,3.5,0.03,0.01,0.3,0.11,3.43,8.24,1.24,0.09,0.5,0.04,0.19,0.09,12.94,0.729,450
South Africa,20.29099339,20.86223225,5.33,0.05,0.01,1.3,0.21,3.41,14.29,3.31,0.46,0.51,0.35,0.45,1.71,14.03,0.652,606233
South Korea,15.20109469,14.28327971,3.19,0.17,0.02,0.8,0.21,4,18.47,0.58,2.64,0.48,2.48,0.71,0.52,10.2,0.873,10630
Spain,23.34186445,27.42183846,4.31,0.22,0.01,0.3,0.09,5.92,11.63,2.27,0.7,0.36,0.72,2.66,8.48,13.49,0.896,1825476
Sri Lanka,24.51865613,22.98820628,7.33,0.01,0.01,0.5,0.26,4.86,28.42,2.62,0.02,2.3,0.11,0.03,0.49,13.47,0.466,648
Sweden,4.904438693,4.608036366,1.78,0.01,0.01,0.2,0.03,1.435,3.34,1.54,0.28,0.18,0.38,0.19,0.05,3.35,0.81,3337
Switzerland,9.918066566,9.402994388,2.38,0.02,0.01,0.2,0.06,2.6,4.42,1.82,0.03,0.14,0.13,0.16,0.53,11.4,0.788,34542
Tajikistan,35.54148884,33.32014579,2.72,0.16,0,4.7,1.35,4.92,41.16,0.03,0.01,5.7,0,0.01,0.01,7.87,0.263,0
Thailand,17.47116905,16.40557595,5.88,0,0.01,0.5,0.28,4.65,20.25,1.25,1.27,0.81,1.04,0.31,0.83,12.26,0.796,8686
Turkey,14.37449719,14.04174297,3.67,0.33,0,0.7,0.21,2.91,12.47,0.78,1.83,0.41,0.32,1.94,2.91,7.59,0.853,186426
Ukraine,12.88319001,12.90102067,1.15,0.04,0.01,0.3,0.09,4.33,17.13,0.08,1.36,0.87,0.59,1.72,0.18,7.6,0.661,271252
United Arab Emirates,24.12523746,22.66674604,8.27,0.01,0.03,0.7,0.16,5.98,19.98,3.12,0.09,0.43,0.17,0.02,4.46,15.62,0.807,16260
United Kingdom,9.604753708,9.038524484,2.26,0.03,0.01,0.2,0.05,2.71,4.77,1.65,0.89,0.2,1.69,1.04,1.07,9.75,0.931,11228
United States,19.68660762,24.70619464,2.89,0.02,0.05,0.2,0.06,4.79,5.14,1.43,3.14,0.19,14.75,10.47,1.59,11.82,0.926,2059858
Uzbekistan,26.87892863,25.19912,3.09,0.05,0.01,4.6,0.79,5.68,36.58,0.09,0.02,2.46,0.05,0.09,0.05,8.28,0.666,41
Venezuela,19.89911319,18.66240332,5.33,0.01,0,1.5,0.31,2.63,19.71,0.19,0.24,0.97,0.18,0.06,0.06,16.84,0.354,2302
Vietnam,32.60089597,30.63303531,9.04,0.01,0.02,0.5,0.5,8.69,33.79,2.33,2.83,1.95,3.14,1.88,5.2,11.7,0.693,22970